ERC,PIN,INPIN,OUTPIN,IOPIN,TRIPIN,PASSPIN,PWRPIN,SUPPIN,OCPIN,OEPIN,NCPIN
PIN,WARN,WARN,WARN,WARN,WARN,WARN,WARN,WARN,WARN,WARN,ERROR
INPIN,WARN,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR
OUTPIN,WARN,OK,ERROR,OK,WARN,OK,OK,ERROR,ERROR,ERROR,ERROR
IOPIN,WARN,OK,OK,OK,OK,OK,OK,WARN,OK,WARN,ERROR
TRIPIN,WARN,OK,WARN,OK,OK,OK,WARN,ERROR,WARN,WARN,ERROR
PASSPIN,WARN,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR
PWRPIN,WARN,OK,OK,OK,WARN,OK,OK,OK,OK,OK,ERROR
SUPPIN,WARN,OK,ERROR,WARN,ERROR,OK,OK,ERROR,ERROR,ERROR,ERROR
OCPIN,WARN,OK,ERROR,OK,WARN,OK,OK,ERROR,OK,OK,ERROR
OEPIN,WARN,OK,ERROR,WARN,WARN,OK,OK,ERROR,OK,OK,ERROR
NCPIN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
