C1,caps(1)
C10,caps(6)
C11,caps(7)
C12,caps(8)
C13,caps(9)
C14,cpu_caps(1)
C15,cpu_caps(2)
C16,cpu_caps(3)
C17,cpu_caps(4)
C18,power_caps(1)
C19,power_caps(2)
C2,caps(10)
C20,power_caps(3)
C21,power_caps(4)
C3,caps(11)
C4,caps(12)
C5,caps(13)
C6,caps(2)
C7,caps(3)
C8,caps(4)
C9,caps(5)
DISP1,displays(1)
DISP2,displays(2)
J1,ep_conn
J2,pp_conn
J3,volt_clip
Q1,bjt_seg_array(1)
Q2,bjt_seg_array(2)
Q3,bjt_seg_array(3)
Q4,bjt_seg_array(4)
Q5,power_bjt(1)
Q6,power_bjt(2)
R1,amp_res_array(1)
R10,amp_res_array(5)
R11,amp_res_array(6)
R12,amp_res_array(7)
R13,amp_res_array(8)
R14,amp_res_array(9)
R15,cpu_resistors(1)
R16,cpu_resistors(2)
R17,power_res_array(1)
R18,power_res_array(2)
R19,power_res_array(3)
R2,amp_res_array(10)
R20,power_res_array(4)
R21,power_res_array(5)
R22,power_res_array(6)
R23,power_res_array(7)
R24,res_bjt_array(1)
R25,res_bjt_array(2)
R26,res_bjt_array(3)
R27,res_bjt_array(4)
R28,res_seg_array(1)
R29,res_seg_array(2)
R3,amp_res_array(11)
R30,res_seg_array(3)
R31,res_seg_array(4)
R32,res_seg_array(5)
R33,res_seg_array(6)
R34,res_seg_array(7)
R35,res_seg_array(8)
R4,amp_res_array(12)
R5,amp_res_array(13)
R6,amp_res_array(14)
R7,amp_res_array(2)
R8,amp_res_array(3)
R9,amp_res_array(4)
SW1,switch
TP1,test_points(1)
TP2,test_points(2)
TP3,test_points(3)
TP4,test_points(4)
U1,CPU
U2,opAmps
U3,power_supply
X1,tranducer
