C1,rx_coupling_caps(1)
C10,rx_coupling_caps(10)
C11,rx_coupling_caps(11)
C12,rx_coupling_caps(12)
C13,decoupling_caps(1)
C14,decoupling_caps(2)
C15,decoupling_caps(3)
C16,decoupling_caps(4)
C17,decoupling_caps(5)
C18,decoupling_caps(6)
C19,decoupling_caps(7)
C2,rx_coupling_caps(2)
C20,decoupling_caps(8)
C21,decoupling_caps(9)
C22,decoupling_caps(10)
C23,clk_buffer_iso_caps(1)
C24,clk_buffer_iso_caps(2)
C25,clk_buffer_iso_caps(3)
C26,clk_buffer_iso_caps(4)
C3,rx_coupling_caps(3)
C4,rx_coupling_caps(4)
C5,rx_coupling_caps(5)
C6,rx_coupling_caps(6)
C7,rx_coupling_caps(7)
C8,rx_coupling_caps(8)
C9,rx_coupling_caps(9)
H1,mounting_holes(1)
H2,mounting_holes(2)
H3,mounting_holes(3)
H4,mounting_holes(4)
J1,header_IO
P1,port0(1)
P10,port2(2)
P11,port2(3)
P12,port2(4)
P13,port3(1)
P14,port3(2)
P15,port3(3)
P16,port3(4)
P17,port4(1)
P18,port4(2)
P19,port4(3)
P2,port0(2)
P20,port4(4)
P21,port5(1)
P22,port5(2)
P23,port5(3)
P24,port5(4)
P25,diff_clk_input(1)
P26,diff_clk_input(2)
P27,single_ended_clk_input
P28,diff_single_select
P29,sync_connectors(1)
P3,port0(3)
P30,sync_connectors(2)
P31,docking_connector
P4,port0(4)
P5,port1(1)
P6,port1(2)
P7,port1(3)
P8,port1(4)
P9,port2(1)
R1,clk_biasing_network(1)
R10,clk_biasing_network(10)
R11,clk_buffer_terminations(1)
R12,clk_buffer_terminations(2)
R13,clk_buffer_terminations(3)
R14,clk_buffer_terminations(4)
R15,sync_termination
R2,clk_biasing_network(2)
R3,clk_biasing_network(3)
R4,clk_biasing_network(4)
R5,clk_biasing_network(5)
R6,clk_biasing_network(6)
R7,clk_biasing_network(7)
R8,clk_biasing_network(8)
R9,clk_biasing_network(9)
T1,diff_iso_transformer
T2,single_iso_transformer
U1,clock_buffer
